primary_key_response,Date_updated,CountryCode,StringencyIndex_updated,percentage_change_stringency,StringencyLegacyIndex_updated,GovernmentResponseIndex_updated,percentage_change_GovernmentResponse,ContainmentHealthIndex_updated,percentage_change_ContainmentHealth,EconomicSupportIndex_updated,percentage_change_EconomicSupport
ABW2020-01-01,2020-01-01,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-02,2020-01-02,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-03,2020-01-03,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-04,2020-01-04,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-05,2020-01-05,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-06,2020-01-06,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-07,2020-01-07,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-08,2020-01-08,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-09,2020-01-09,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-10,2020-01-10,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-11,2020-01-11,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-12,2020-01-12,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-13,2020-01-13,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-14,2020-01-14,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-15,2020-01-15,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-16,2020-01-16,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-17,2020-01-17,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-18,2020-01-18,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-19,2020-01-19,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-20,2020-01-20,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-21,2020-01-21,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-22,2020-01-22,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-23,2020-01-23,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-24,2020-01-24,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-25,2020-01-25,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-26,2020-01-26,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-27,2020-01-27,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-28,2020-01-28,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-29,2020-01-29,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-30,2020-01-30,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-01-31,2020-01-31,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-01,2020-02-01,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-02,2020-02-02,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-03,2020-02-03,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-04,2020-02-04,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-05,2020-02-05,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-06,2020-02-06,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-07,2020-02-07,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-08,2020-02-08,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-09,2020-02-09,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-10,2020-02-10,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-11,2020-02-11,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-12,2020-02-12,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-13,2020-02-13,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-14,2020-02-14,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-15,2020-02-15,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-16,2020-02-16,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-17,2020-02-17,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-18,2020-02-18,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-19,2020-02-19,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-20,2020-02-20,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-21,2020-02-21,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-22,2020-02-22,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-23,2020-02-23,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-24,2020-02-24,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-25,2020-02-25,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-26,2020-02-26,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-27,2020-02-27,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-28,2020-02-28,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-02-29,2020-02-29,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-03-01,2020-03-01,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-03-02,2020-03-02,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-03-03,2020-03-03,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-03-04,2020-03-04,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-03-05,2020-03-05,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-03-06,2020-03-06,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-03-07,2020-03-07,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-03-08,2020-03-08,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-03-09,2020-03-09,ABW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABW2020-03-10,2020-03-10,ABW,0.0,0.0,0.0,2.56,0.0,3.03,0.0,0.0,0.0
ABW2020-03-11,2020-03-11,ABW,0.0,0.0,0.0,2.56,0.0,3.03,0.0,0.0,0.0
ABW2020-03-12,2020-03-12,ABW,0.0,0.0,0.0,2.56,0.0,3.03,0.0,0.0,0.0
ABW2020-03-13,2020-03-13,ABW,0.0,0.0,0.0,2.56,0.0,3.03,0.0,0.0,0.0
ABW2020-03-14,2020-03-14,ABW,0.0,0.0,0.0,2.56,0.0,3.03,0.0,0.0,0.0
ABW2020-03-15,2020-03-15,ABW,0.0,0.0,0.0,2.56,0.0,3.03,0.0,0.0,0.0
ABW2020-03-16,2020-03-16,ABW,11.11,0.0,14.29,10.26,300.78125,12.12,300.0,0.0,0.0
ABW2020-03-17,2020-03-17,ABW,22.22,100.0,28.57,17.95,74.95126705653021,21.21,75.00000000000003,0.0,0.0
ABW2020-03-18,2020-03-18,ABW,33.33,50.0,42.86,25.64,42.84122562674095,30.3,42.85714285714286,0.0,0.0
ABW2020-03-19,2020-03-19,ABW,33.33,0.0,42.86,29.49,15.01560062402496,34.85,15.016501650165015,0.0,0.0
ABW2020-03-20,2020-03-20,ABW,33.33,0.0,42.86,29.49,0.0,34.85,0.0,0.0,0.0
ABW2020-03-21,2020-03-21,ABW,44.44,33.33333333333333,60.71,37.18,26.07663614784674,43.94,26.083213773314196,0.0,0.0
ABW2020-03-22,2020-03-22,ABW,44.44,0.0,60.71,37.18,0.0,43.94,0.0,0.0,0.0
ABW2020-03-23,2020-03-23,ABW,44.44,0.0,60.71,37.18,0.0,43.94,0.0,0.0,0.0
ABW2020-03-24,2020-03-24,ABW,44.44,0.0,60.71,37.18,0.0,43.94,0.0,0.0,0.0
ABW2020-03-25,2020-03-25,ABW,44.44,0.0,60.71,37.18,0.0,43.94,0.0,0.0,0.0
ABW2020-03-26,2020-03-26,ABW,44.44,0.0,60.71,37.18,0.0,43.94,0.0,0.0,0.0
ABW2020-03-27,2020-03-27,ABW,44.44,0.0,60.71,37.18,0.0,43.94,0.0,0.0,0.0
ABW2020-03-28,2020-03-28,ABW,44.44,0.0,60.71,37.18,0.0,43.94,0.0,0.0,0.0
ABW2020-03-29,2020-03-29,ABW,85.19,91.6966696669667,85.71,65.38,75.84722969338354,77.27,75.85343650432408,0.0,0.0
ABW2020-03-30,2020-03-30,ABW,85.19,0.0,85.71,73.08,11.777301927194861,77.27,0.0,50.0,0.0
ABW2020-03-31,2020-03-31,ABW,85.19,0.0,85.71,73.08,0.0,77.27,0.0,50.0,0.0
ABW2020-04-01,2020-04-01,ABW,85.19,0.0,85.71,78.85,7.895457033388054,77.27,0.0,87.5,75.0
ABW2020-04-02,2020-04-02,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-03,2020-04-03,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-04,2020-04-04,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-05,2020-04-05,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-06,2020-04-06,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-07,2020-04-07,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-08,2020-04-08,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-09,2020-04-09,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-10,2020-04-10,ABW,88.89,4.3432327737997545,85.71,81.41,3.2466708941027322,80.3,3.9213148699365874,87.5,0.0
ABW2020-04-11,2020-04-11,ABW,85.19,-4.162447969400384,85.71,78.85,-3.144576833312862,77.27,-3.7733499377335056,87.5,0.0
ABW2020-04-12,2020-04-12,ABW,88.89,4.3432327737997545,85.71,81.41,3.2466708941027322,80.3,3.9213148699365874,87.5,0.0
ABW2020-04-13,2020-04-13,ABW,88.89,0.0,85.71,81.41,0.0,80.3,0.0,87.5,0.0
ABW2020-04-14,2020-04-14,ABW,85.19,-4.162447969400384,85.71,78.85,-3.144576833312862,77.27,-3.7733499377335056,87.5,0.0
ABW2020-04-15,2020-04-15,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-16,2020-04-16,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-17,2020-04-17,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-18,2020-04-18,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-19,2020-04-19,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-20,2020-04-20,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-21,2020-04-21,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-22,2020-04-22,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-23,2020-04-23,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-24,2020-04-24,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-25,2020-04-25,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-26,2020-04-26,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-27,2020-04-27,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-28,2020-04-28,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-29,2020-04-29,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-04-30,2020-04-30,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-05-01,2020-05-01,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-05-02,2020-05-02,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
ABW2020-05-03,2020-05-03,ABW,85.19,0.0,85.71,78.85,0.0,77.27,0.0,87.5,0.0
