country,primary_key,iso_code,population,population_density,median_age,gdp_per_capita,interval_GRRamp,interval_GRToFirstNC,interval_firstNCToMaxNC,interval_firstNCToMaxND,index_MaxGR,index_avgMaxGRStartApr1,change_GRRamp,index_string,index_health,index_econ,value_maxNC,value_maxND,value_NC_3mnth,value_TC_3mnth,value_ND_3mnth,value_TD_3mnth,percent_maxNC,percent_maxND,percent_NC_3mnth,percent_ND_3mnth,percent_TC_3mnth,percent_TD_3mnth,percent_newTestsMean,value_totTestsSlope,mobil_residential,mobil_outdoors,mobil_retailRecreation,mobil_parks,mobil_GroceryPharmacy,mobil_transitStations,mobil_workplaces,PC 1,PC 2,PC 3,Class,logPercent_maxND,logPercent_NC_3mnth,logPercent_ND_3mnth,logPercent_TD_3mnth,logPercent_TC_3mnth,logPercent_maxNC,logInterval_maxNC,logInterval_maxND
Afghanistan,AFG2020-08-31,AFG,38928341.0,54.422,18.6,0.0,42,-5,76,133,64.74,60.57888888888874,50.74,77.05660130718965,71.5952941176471,0.0,1063.0,56.0,33.0,75.0,0.0,1.0,0.0027306583653282325,0.00014385406251964347,8.47711439847899e-05,0.0,0.0001926616908745225,2.568822544993633e-06,0.0,0.0,9.333333333333334,-21.19230769230769,-29.66666666666667,-10.076923076923077,-13.307692307692307,-31.41025641025641,-21.5,-0.5609734034937395,-1.4701307355379705,-0.5509389754816235,0,-3.8420778688800112,-4.071751956008324,-5.039919936220337,-5.590265895886211,-3.715204632494512,-2.5637326313629147,1.8808135922807916,2.123851640967086
Albania,ALB2020-08-31,ALB,2877800.0,104.871,38.0,0.0,78,0,169,139,81.41,68.48954248365996,67.41,71.0821568627453,69.28169934640518,64.13398692810458,178.0,6.0,6.0,383.0,0.0,22.0,0.006185280422545,0.0002084925985127528,0.0002084925985127528,0.0,0.013308777538397388,0.0007644728612134267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1604380437796387,-0.7376008796839183,1.6667700093626439,0,-3.6809093578706777,-3.6809093578706777,-5.177976602408574,-3.1166379274321154,-1.8758618342856987,-2.2086406059454275,2.227886704613673,2.143014800254095
Algeria,DZA2020-08-31,DZA,43851043.0,17.348,29.1,0.0,149,-15,135,38,78.85,66.17104575163397,64.85,77.3498039215685,70.17986928104571,44.11764705882353,675.0,42.0,65.0,367.0,4.0,25.0,0.0015393020412308091,9.57787936765837e-05,0.00014822908545185568,9.121789873960353e-06,0.0008369242209358624,5.7011186712252206e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.755309784976315,-1.2343519879527924,1.2080691780668984,0,-4.018730637150399,-3.829066570905444,-3.699278726212821,-4.244039918876262,-3.0773138632962103,-2.8126761547172747,2.130333768495006,1.57978359661681
Angola,AGO2020-08-31,AGO,32866268.0,23.89,16.8,0.0,16,-2,135,130,75.64,67.04437908496712,61.64,79.37686274509794,71.98398692810454,39.869281045751634,180.0,6.0,0.0,24.0,0.0,2.0,0.0005476739859846576,1.825579953282192e-05,0.0,0.0,7.302319813128768e-05,6.08526651094064e-06,0.0,0.0,20.988888888888887,-34.14291023502057,-39.76190476190476,-34.57777777777777,-21.72558139534884,-54.162561576354676,-20.48672566371681,1.2708497603142366,-1.549488608072369,-0.8902293921814698,2,-4.7385991418931726,-2.250281721753848,-4.230853138011813,-5.215720396612835,-4.136539150565211,-3.2614778871735104,2.130333768495006,2.113943352306837
Argentina,ARG2020-08-31,ARG,45195777.0,16.177,31.9,0.0,21,0,179,175,91.03,85.19019607843144,77.03,91.49653594771223,87.04156862745101,75.0,11730.0,323.0,0.0,1133.0,3.0,34.0,0.025953752272031963,0.0007146685408240687,0.0,6.63778830486751e-06,0.002506871383138296,7.522826745516513e-05,0.00018921900601465488,0.08856311188325287,18.844,-51.92566080597165,-65.05955555555556,-73.73333333333333,-28.504444444444445,-60.525192918747166,-31.805777777777767,3.628440926180756,-1.644506174523379,0.5469559700137794,2,-3.145895334797133,-1.897265586897912,-5.517695598154098,-4.123618940085981,-2.6008679472648386,-1.5857998450127069,2.2528530309798933,2.2430380486862944
Aruba,ABW2020-08-31,ABW,106766.0,584.8,41.2,0.0,22,-6,154,34,81.41,57.20692810457518,67.41,53.84457516339867,52.973856209150256,80.47385620915033,175.0,1.0,6.0,92.0,0.0,0.0,0.16390985894385854,0.0009366277653934773,0.005619766592360864,0.0,0.08616975441619991,0.0,0.007554683451036222,0.009811855877616748,22.211267605633804,-43.93333333333333,-53.244444444444454,-36.04444444444445,-22.488888888888887,-59.9888888888889,-47.9,2.7842399284444297,3.7717909514252996,2.2876117361546795,1,-3.028432972137492,-3.5746388547906087,-5.0671835644683485,-3.238547887681328,-1.0646451447919365,-0.7853949234511973,2.187520720836463,1.5314789170422551
Australia,AUS2020-08-31,AUS,25499881.0,3.202,37.9,0.0,191,0,188,206,81.73,71.28176470588234,67.73,68.20124183006544,70.60228758169946,75.0,721.0,25.0,0.0,22.0,0.0,0.0,0.002827464175224975,9.803967320474946e-05,0.0,0.0,8.627491242017954e-05,0.0,0.0,0.0,7.853035143769968,-13.7,-18.239682539682537,-14.788888888888893,0.8841269841269841,-25.447619047619053,-10.907936507936508,-0.5870548745725356,-1.858924218797516,1.9246347159400503,0,-4.008598145049606,-2.523282961913877,-4.038860487173744,-4.4039426276216345,-4.064115472899438,-2.5486028890022148,2.2741578492636805,2.3138672203691533
Austria,AUT2020-08-31,AUT,9006400.0,106.749,44.4,0.0,34,1,31,57,85.26,62.66816993464053,71.26,50.26039215686271,58.156535947712364,87.5,1141.0,31.0,1141.0,7029.0,18.0,52.0,0.012668768875466335,0.00034419968022739384,0.012668768875466335,0.00019985787884171247,0.07804450168768877,0.0005773672055427253,0.000137178436552645,0.012526069868082941,13.110862262038074,-31.129753212654037,-49.52444444444443,-7.187082405345214,-17.827272727272728,-45.02552204176335,-36.084444444444436,0.7478701204491637,5.196398043970164,0.5766124905593566,1,-3.4631895374818544,-4.603881745770381,-5.02645033822791,-3.753731883292151,-1.1076576879995017,-1.897265586897912,1.4913616938342726,1.7558748556724917
Azerbaijan,AZE2020-08-31,AZE,10139175.0,119.309,32.4,0.0,114,1,118,144,87.18,81.10490196078422,73.18,88.03215686274505,87.17640522875826,47.7124183006536,590.0,13.0,27.0,209.0,0.0,4.0,0.005819013874402996,0.0001282155599444728,0.0002662938552692897,0.0,0.002061311694491909,3.9450941521376254e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9766007038822448,-2.0314792174060265,2.2726796031016843,0,-3.89205926664276,-3.339793177075161,-4.540857628569311,-4.986216681111843,-2.6858563328385423,-2.2351506073074523,2.071882007306125,2.1583624920952498
Bahrain,BHR2020-08-31,BHR,1701583.0,1935.907,32.4,0.0,52,15,125,124,83.33,79.4947058823531,69.33,73.15843137254912,78.04307189542492,87.5,1046.0,7.0,51.0,390.0,1.0,3.0,0.06147217032610223,0.0004113816369815637,0.0029972090694371065,5.876880528308053e-05,0.022919834060401403,0.00017630641584924156,0.0,0.0,11.388235294117653,-22.251764705882355,-30.058823529411764,-30.317647058823532,-10.847058823529412,-25.65882352941177,-14.376470588235295,0.681571372151653,0.09795141722695724,2.204764854592013,2,-3.385755097997557,-4.1640935774764065,-5.320214396430757,-2.759472934912982,-1.6397885309853144,-1.2113214534805579,2.096910013008056,2.093421685162235
