primary_key,country,iso_code,population,population_density,median_age,gdp_per_capita,date_minGR,date_maxGR,date_firstNC,date_maxNC,date_maxND,date_3mnthAfter,interval_GRRamp,interval_GRToFirstNC,interval_firstNCToMaxNC,interval_firstNCToMaxND,interval_maxNCToMaxND,index_MaxGR,index_avgMaxGRStartApr1,change_GRRamp,index_string,index_health,index_econ,value_maxNC,value_maxND,value_NC_3mnth,value_TC_3mnth,value_ND_3mnth,value_TD_3mnth,percent_maxNC,percent_maxND,percent_NC_3mnth,percent_ND_3mnth,percent_TC_3mnth,percent_TD_3mnth,percent_newTestsMean,value_totTestsSlope,mobil_residential,mobil_outdoors,mobil_retailRecreation,mobil_parks,mobil_GroceryPharmacy,mobil_transitStations,mobil_workplaces,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H5_Investment in vaccines,E3_Fiscal measures,E4_International support,H4_Emergency investment in healthcare
AFG2020-08-31,Afghanistan,AFG,38928341.0,54.422,18.6,,2020-03-01,2020-04-12,2020-02-25,2020-05-16,2020-07-07,2020-03-26,42,-5,76,133,52,64.74,60.57888888888874,50.74,77.05660130718965,71.5952941176471,0.0,1063.0,56.0,33.0,75.0,0.0,1.0,0.0027306583653282325,0.00014385406251964347,8.47711439847899e-05,0.0,0.0001926616908745225,2.568822544993633e-06,0.0,0.0,9.333333333333334,-21.19230769230769,-29.66666666666667,-10.076923076923077,-13.307692307692307,-31.41025641025641,-21.5,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,527711935.0,39400000.0,248977750.0
ALB2020-08-31,Albania,ALB,2877800.0,104.871,38.0,,2020-03-09,2020-05-26,2020-03-09,2020-08-25,2020-07-26,2020-04-08,78,0,169,139,-30,81.41,68.48954248365996,67.41,71.0821568627453,69.28169934640518,64.13398692810458,178.0,6.0,6.0,383.0,0.0,22.0,0.006185280422545,0.0002084925985127528,0.0002084925985127528,0.0,0.013308777538397388,0.0007644728612134268,0.0,0.0,,,,,,,,3.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,399758949.8,0.0,26000000.0
DZA2020-08-31,Algeria,DZA,43851043.0,17.348,29.1,,2020-03-12,2020-08-08,2020-02-26,2020-07-25,2020-04-04,2020-03-27,149,-15,135,38,-112,78.85,66.17104575163397,64.85,77.3498039215685,70.17986928104571,44.11764705882353,675.0,42.0,65.0,367.0,4.0,25.0,0.0015393020412308091,9.57787936765837e-05,0.00014822908545185568,9.121789873960353e-06,0.0008369242209358624,5.7011186712252206e-05,0.0,0.0,,,,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,3.0,0.0,2.0,1.0,4.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,715534452.0,0.0,326000000.0
AGO2020-08-31,Angola,AGO,32866268.0,23.89,16.8,,2020-03-24,2020-04-09,2020-03-22,2020-08-06,2020-07-30,2020-04-21,16,-2,135,130,-7,75.64,67.04437908496712,61.64,79.37686274509794,71.98398692810454,39.869281045751634,180.0,6.0,0.0,24.0,0.0,2.0,0.0005476739859846576,1.825579953282192e-05,0.0,0.0,7.302319813128768e-05,6.08526651094064e-06,0.0,0.0,20.988888888888887,-34.14291023502057,-39.76190476190476,-34.57777777777777,-21.72558139534884,-54.162561576354676,-20.48672566371681,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,9000000.0,0.0,240000000.0
ARG2020-08-31,Argentina,ARG,45195777.0,16.177,31.9,,2020-03-04,2020-03-25,2020-03-04,2020-08-30,2020-08-26,2020-04-03,21,0,179,175,-4,91.03,85.19019607843144,77.03,91.49653594771223,87.04156862745101,75.0,11730.0,323.0,0.0,1133.0,3.0,34.0,0.025953752272031963,0.0007146685408240687,0.0,6.63778830486751e-06,0.002506871383138296,7.522826745516513e-05,0.00018921900601465486,0.08856311188325287,18.844,-51.92566080597165,-65.05955555555556,-73.73333333333333,-28.504444444444445,-60.525192918747166,-31.805777777777767,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,10540843824.99,0.0,73000000.0
ABW2020-08-31,Aruba,ABW,106766.0,584.8,41.2,,2020-03-19,2020-04-10,2020-03-13,2020-08-20,2020-04-16,2020-04-12,22,-6,154,34,-126,81.41,57.20692810457518,67.41,53.84457516339867,52.973856209150256,80.47385620915033,175.0,1.0,6.0,92.0,0.0,0.0,0.16390985894385854,0.0009366277653934773,0.005619766592360864,0.0,0.08616975441619991,0.0,0.007554683451036223,0.009811855877616748,22.211267605633804,-43.93333333333333,-53.244444444444454,-36.04444444444445,-22.488888888888887,-59.9888888888889,-47.9,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,4.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.56,0.0
AUS2020-08-31,Australia,AUS,25499881.0,3.202,37.9,,2020-01-25,2020-08-03,2020-01-25,2020-07-31,2020-08-18,2020-02-24,191,0,188,206,18,81.73,71.28176470588234,67.73,68.20124183006544,70.60228758169946,75.0,721.0,25.0,0.0,22.0,0.0,0.0,0.0028274641752249747,9.803967320474946e-05,0.0,0.0,8.627491242017954e-05,0.0,0.0,0.0,7.853035143769968,-13.7,-18.239682539682537,-14.788888888888893,0.8841269841269841,-25.447619047619053,-10.907936507936508,3.0,0.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,4.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,7473254.0,193153104941.23,192049425.0,1860463470.83
AUT2020-08-31,Austria,AUT,9006400.0,106.749,44.4,,2020-02-25,2020-03-30,2020-02-26,2020-03-27,2020-04-23,2020-03-27,34,1,31,57,27,85.26,62.66816993464053,71.26,50.26039215686271,58.156535947712364,87.5,1141.0,31.0,1141.0,7029.0,18.0,52.0,0.012668768875466335,0.00034419968022739384,0.012668768875466335,0.00019985787884171252,0.07804450168768877,0.0005773672055427253,0.000137178436552645,0.012526069868082941,13.110862262038074,-31.129753212654037,-49.52444444444443,-7.187082405345214,-17.827272727272728,-45.02552204176335,-36.084444444444436,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0,1085695.0,59374313622.0,0.0,0.0
AZE2020-08-31,Azerbaijan,AZE,10139175.0,119.309,32.4,,2020-02-28,2020-06-21,2020-02-29,2020-06-25,2020-07-22,2020-03-30,114,1,118,144,27,87.18,81.10490196078422,73.18,88.03215686274505,87.17640522875826,47.7124183006536,590.0,13.0,27.0,209.0,0.0,4.0,0.005819013874402996,0.0001282155599444728,0.0002662938552692897,0.0,0.002061311694491909,3.9450941521376254e-05,0.0,0.0,,,,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,600224995.9,10000000.0,0.0
BHR2020-08-31,Bahrain,BHR,1701583.0,1935.907,32.4,,2020-02-09,2020-04-01,2020-02-24,2020-06-13,2020-06-27,2020-03-25,52,15,125,124,14,83.33,79.4947058823531,69.33,73.15843137254912,78.04307189542492,87.5,1046.0,7.0,51.0,390.0,1.0,3.0,0.06147217032610223,0.0004113816369815637,0.0029972090694371065,5.876880528308053e-05,0.022919834060401403,0.00017630641584924156,0.0,0.0,11.388235294117651,-22.251764705882355,-30.058823529411764,-30.317647058823532,-10.847058823529412,-25.65882352941177,-14.376470588235295,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0,0.0,12378572650.83,0.0,468500000.0
