location,GovernmentResponseIndex_updated
Honduras,86.68450980392187
Argentina,85.19019607843144
El Salvador,84.83098039215692
Colombia,84.49751633986952
Nepal,83.45130718954242
Oman,82.97562091503264
Peru,82.79235294117655
India,82.67019607843119
Azerbaijan,81.10490196078422
Ecuador,80.90346405228735
Paraguay,80.02882352941197
Guatemala,79.82385620915029
South Africa,79.54915032679754
Bahrain,79.4947058823531
Gabon,77.87790849673195
Chile,77.60065359477122
Iraq,77.43084967320287
Cape Verde,77.40013071895397
Saudi Arabia,77.33732026143792
Bhutan,77.27294117647097
Qatar,77.26352941176485
Cyprus,76.87954248365982
Panama,76.808954248366
Kenya,76.41928104575189
Kazakhstan,76.32549019607858
Philippines,76.05254901960801
Kuwait,75.73751633986953
Russia,75.59483660130735
Puerto Rico,75.56888888888902
Morocco,75.39307189542502
Eritrea,75.0
Fiji,74.59823529411773
Bangladesh,73.92751633986961
United Kingdom,73.71732026143799
Hong Kong,73.41799999999999
Ireland,73.01098039215674
Cuba,72.98771241830076
Congo,72.7302614379085
Palestine,72.67013071895443
Bolivia,72.4052941176471
Venezuela,72.38562091503275
China,72.3137254901959
Canada,71.89444444444428
Uganda,71.8209803921568
Egypt,71.753071895425
Singapore,71.708888888889
Uzbekistan,71.66058823529411
Libya,71.37640522875797
Portugal,71.37013071895431
Australia,71.28176470588234
Israel,71.22052287581715
Guyana,71.09679738562085
Rwanda,70.8594771241829
Kyrgyzstan,70.8410457516339
Dominican Republic,70.47483660130709
Trinidad and Tobago,70.21424836601305
Denmark,70.19150326797393
United States,69.80516339869259
Pakistan,69.72156862745113
Swaziland,69.56006535947712
Malaysia,69.4868627450981
Sudan,69.1785620915032
Moldova,69.12967320261426
Georgia,68.79254901960806
Suriname,68.66490196078428
France,68.66176470588225
Spain,68.65697368421043
Thailand,68.53098039215678
Albania,68.48954248365996
Turkey,68.10790849673228
Belgium,67.92418300653614
Belize,67.45326797385617
United Arab Emirates,67.29065359477121
Angola,67.04437908496712
Vietnam,67.00503267973852
Italy,66.93000000000004
Ethiopia,66.32156862745094
Costa Rica,66.30222222222226
Algeria,66.17104575163397
Zimbabwe,66.13725490196096
Barbados,66.00869281045762
Jamaica,65.50058823529423
Brazil,65.00274509803913
Hungary,64.52745098039233
Germany,64.42274509803921
Myanmar,64.34431372549011
Croatia,64.30294117647063
Romania,64.27980392156874
Chad,64.13928104575153
Malawi,63.75649006622516
Mongolia,63.51647058823541
Namibia,63.457712418300694
Democratic Republic of Congo,63.34274509803911
Senegal,63.05934640522867
Greece,63.0238562091503
Nigeria,63.01516339869269
Sri Lanka,62.95803921568624
Austria,62.66816993464052
Jordan,62.27934640522885
Ukraine,62.27607843137257
Botswana,61.38967320261445
Slovakia,61.3367973856209
Madagascar,61.03941176470582
Ghana,60.94359477124193
Guam,60.75575163398697
Netherlands,60.58679738562094
Afghanistan,60.57888888888874
Liberia,60.52209150326785
Gambia,60.490522875817035
Djibouti,60.36019607843154
South Korea,60.31843137254891
Luxembourg,59.708039215686206
Lebanon,59.67784313725504
Papua New Guinea,59.65594771241829
Iceland,59.322875816993616
Mauritania,59.10627450980378
Slovenia,59.0614379084966
Mexico,58.65189542483659
Lesotho,58.41403669724772
Guinea,58.32856209150334
New Zealand,58.32549019607841
Latvia,57.94803921568626
Lithuania,57.91470588235293
Tunisia,57.68718954248363
Cote d'Ivoire,57.649411764705896
Switzerland,57.54124183006533
Czech Republic,57.49405228758162
Aruba,57.206928104575184
Serbia,56.60254901960782
Norway,56.5232026143791
Iran,56.50333333333332
Timor,56.4684967320261
Mali,56.23032679738561
Sierra Leone,56.10071895424854
Poland,55.82836601307188
Indonesia,55.82320261437913
Mozambique,55.61633986928108
Togo,55.510522875816996
Bosnia and Herzegovina,55.404117647058705
Cameroon,55.28006535947703
Mauritius,54.71640522875821
Central African Republic,54.51313725490198
Benin,53.635424836601196
Tajikistan,52.948455284552864
Haiti,52.9324183006536
Bulgaria,52.576732026143766
Uruguay,51.76450980392164
Laos,50.8161437908496
Burkina Faso,50.52895424836606
Seychelles,49.90222222222216
Zambia,48.77052287581688
Finland,48.27215686274512
Sweden,46.56032679738557
Brunei,44.66647058823523
Cambodia,43.59588235294136
Japan,42.563333333333354
Estonia,41.61228758169931
Niger,33.33222222222224
Somalia,33.312875816993426
Yemen,32.00375000000001
Tanzania,27.34450980392164
Burundi,26.47777777777779
Belarus,22.98901960784313
Nicaragua,12.116339869281017
