,date_updated,primary_key_reaction_CAN,iso_code_CAN,continent_CAN,location_CAN,population_CAN,population_density_CAN,median_age_CAN,percentage_of_Pop_New_Cases_CAN,percentage_of_Pop_New_Deaths_CAN,percentage_of_Pop_New_Tests_CAN,percentage_of_Pop_Total_Cases_CAN,percentage_of_Pop_Total_Deaths_CAN,percentage_of_Pop_Total_Tests_CAN,primary_key_response_CAN,StringencyIndex_updated_CAN,percentage_change_stringency_CAN,StringencyLegacyIndex_updated_CAN,GovernmentResponseIndex_updated_CAN,percentage_change_GovernmentResponse_CAN,ContainmentHealthIndex_updated_CAN,percentage_change_ContainmentHealth_CAN,EconomicSupportIndex_updated_CAN,percentage_change_EconomicSupport_CAN,primary_key_reaction_US,iso_code_US,continent_US,location_US,population_US,population_density_US,median_age_US,percentage_of_Pop_New_Cases_US,percentage_of_Pop_New_Deaths_US,percentage_of_Pop_New_Tests_US,percentage_of_Pop_Total_Cases_US,percentage_of_Pop_Total_Deaths_US,percentage_of_Pop_Total_Tests_US,primary_key_response_US,StringencyIndex_updated_US,percentage_change_stringency_US,StringencyLegacyIndex_updated_US,GovernmentResponseIndex_updated_US,percentage_change_GovernmentResponse_US,ContainmentHealthIndex_updated_US,percentage_change_ContainmentHealth_US,EconomicSupportIndex_updated_US,percentage_change_EconomicSupport_US,T_new_cases_CAN,T_new_deaths_CAN,T_new_tests_CAN,T_total_cases_updated_CAN,T_total_deaths_updated_CAN,T_total_tests_updated_CAN,T_new_cases_US,T_new_deaths_US,T_new_tests_US,T_total_cases_updated_US,T_total_deaths_updated_US,T_total_tests_updated_US
0,2020-01-01,CAN2020-01-01,CAN,North America,Canada,37742157.0,4.037,41.4,0.0,0.0,0.0,0.0,0.0,0.0,CAN2020-01-01,0.0,0.0,0.0,3.85,0.0,4.55,0.0,0.0,0.0,USA2020-01-01,USA,North America,United States,331002647.0,35.60800000000001,38.3,0.0,0.0,0.0,0.0,0.0,0.0,USA2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-02,CAN2020-01-02,CAN,North America,Canada,37742157.0,4.037,41.4,0.0,0.0,0.0,0.0,0.0,0.0,CAN2020-01-02,0.0,0.0,0.0,3.85,0.0,4.55,0.0,0.0,0.0,USA2020-01-02,USA,North America,United States,331002647.0,35.60800000000001,38.3,0.0,0.0,0.0,0.0,0.0,0.0,USA2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-01-03,CAN2020-01-03,CAN,North America,Canada,37742157.0,4.037,41.4,0.0,0.0,0.0,0.0,0.0,0.0,CAN2020-01-03,0.0,0.0,0.0,3.85,0.0,4.55,0.0,0.0,0.0,USA2020-01-03,USA,North America,United States,331002647.0,35.60800000000001,38.3,0.0,0.0,0.0,0.0,0.0,0.0,USA2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-01-04,CAN2020-01-04,CAN,North America,Canada,37742157.0,4.037,41.4,0.0,0.0,0.0,0.0,0.0,0.0,CAN2020-01-04,0.0,0.0,0.0,3.85,0.0,4.55,0.0,0.0,0.0,USA2020-01-04,USA,North America,United States,331002647.0,35.60800000000001,38.3,0.0,0.0,0.0,0.0,0.0,0.0,USA2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-01-05,CAN2020-01-05,CAN,North America,Canada,37742157.0,4.037,41.4,0.0,0.0,0.0,0.0,0.0,0.0,CAN2020-01-05,0.0,0.0,0.0,3.85,0.0,4.55,0.0,0.0,0.0,USA2020-01-05,USA,North America,United States,331002647.0,35.60800000000001,38.3,0.0,0.0,0.0,0.0,0.0,0.0,USA2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-01-06,CAN2020-01-06,CAN,North America,Canada,37742157.0,4.037,41.4,0.0,0.0,0.0,0.0,0.0,0.0,CAN2020-01-06,0.0,0.0,0.0,3.85,0.0,4.55,0.0,0.0,0.0,USA2020-01-06,USA,North America,United States,331002647.0,35.60800000000001,38.3,0.0,0.0,0.0,0.0,0.0,0.0,USA2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-01-07,CAN2020-01-07,CAN,North America,Canada,37742157.0,4.037,41.4,0.0,0.0,0.0,0.0,0.0,0.0,CAN2020-01-07,0.0,0.0,0.0,3.85,0.0,4.55,0.0,0.0,0.0,USA2020-01-07,USA,North America,United States,331002647.0,35.60800000000001,38.3,0.0,0.0,0.0,0.0,0.0,0.0,USA2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-01-08,CAN2020-01-08,CAN,North America,Canada,37742157.0,4.037,41.4,0.0,0.0,0.0,0.0,0.0,0.0,CAN2020-01-08,0.0,0.0,0.0,3.85,0.0,4.55,0.0,0.0,0.0,USA2020-01-08,USA,North America,United States,331002647.0,35.60800000000001,38.3,0.0,0.0,0.0,0.0,0.0,0.0,USA2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-01-09,CAN2020-01-09,CAN,North America,Canada,37742157.0,4.037,41.4,0.0,0.0,0.0,0.0,0.0,0.0,CAN2020-01-09,0.0,0.0,0.0,3.85,0.0,4.55,0.0,0.0,0.0,USA2020-01-09,USA,North America,United States,331002647.0,35.60800000000001,38.3,0.0,0.0,0.0,0.0,0.0,0.0,USA2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-01-10,CAN2020-01-10,CAN,North America,Canada,37742157.0,4.037,41.4,0.0,0.0,0.0,0.0,0.0,0.0,CAN2020-01-10,0.0,0.0,0.0,3.85,0.0,4.55,0.0,0.0,0.0,USA2020-01-10,USA,North America,United States,331002647.0,35.60800000000001,38.3,0.0,0.0,0.0,0.0,0.0,0.0,USA2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-01-11,CAN2020-01-11,CAN,North America,Canada,37742157.0,4.037,41.4,0.0,0.0,0.0,0.0,0.0,0.0,CAN2020-01-11,0.0,0.0,0.0,3.85,0.0,4.55,0.0,0.0,0.0,USA2020-01-11,USA,North America,United States,331002647.0,35.60800000000001,38.3,0.0,0.0,0.0,0.0,0.0,0.0,USA2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
