,Difference in Gov. Response
Morocco,100.0
Vietnam,100.0
Iraq,100.0
Sri Lanka,100.0
Jordan,100.0
Philippines,100.0
Kuwait,100.0
Dominican Republic,100.0
Croatia,100.0
Oman,100.0
Pakistan,100.0
New Zealand,100.0
Georgia,100.0
Nepal,100.0
India,100.0
Ecuador,100.0
Peru,96.43
Azerbaijan,96.43
Egypt,96.43
Algeria,96.43
Burkina Faso,96.43
Italy,96.43
Tunisia,95.24
Israel,95.24
Lithuania,95.24
Ireland,92.86
Spain,91.67
Norway,91.67
United Arab Emirates,91.67
South Africa,91.67
Nigeria,91.67
Qatar,91.67
Lebanon,91.67
France,91.67
Chile,89.29
Greece,88.1
Romania,88.1
Singapore,88.1
Austria,88.1
Netherlands,88.1
Denmark,86.9
Russia,86.9
Panama,86.9
Bahrain,86.9
Mexico,86.9
Cameroon,86.9
Paraguay,85.72
Honduras,85.71000000000001
Argentina,85.71000000000001
Aruba,85.71
Indonesia,84.05
Laos,83.33
Afghanistan,83.33
Congo,83.33
Ukraine,82.14000000000001
Slovenia,82.14000000000001
Saudi Arabia,82.14000000000001
Costa Rica,82.14000000000001
Cuba,82.14
Malaysia,82.14
Belgium,82.14
Serbia,82.14
South Korea,82.14
Czech Republic,82.14
Thailand,82.14
United Kingdom,80.95
Luxembourg,80.95
Angola,80.94999999999999
Brazil,80.48
Ethiopia,79.76
Bangladesh,78.57000000000001
Togo,78.57
Bosnia and Herzegovina,78.57
Colombia,78.57
Canada,78.1
China,78.1
Switzerland,77.38
Poland,77.38
Germany,77.38
Portugal,77.38
Fiji,77.38
Cote d'Ivoire,77.38
Estonia,77.38
Australia,76.9
Iran,76.19
Cambodia,75.0
Moldova,75.0
Ghana,75.0
Finland,73.81
Kenya,73.81
Hungary,73.81
United States,72.14
Senegal,71.43
Democratic Republic of Congo,71.42999999999999
Mauritius,70.24000000000001
Seychelles,69.05000000000001
Timor,69.05000000000001
Swaziland,69.05000000000001
Latvia,69.05
Cyprus,67.86000000000001
Slovakia,67.86
Zimbabwe,67.86
Namibia,67.85999999999999
Trinidad and Tobago,66.66999999999999
Kazakhstan,66.66999999999999
Haiti,65.48
Eritrea,65.48
Rwanda,65.47999999999999
Guinea,65.47
Central African Republic,64.28
Japan,61.9
Bolivia,61.9
Somalia,60.720000000000006
Iceland,60.71
Sweden,60.24
Turkey,59.53
Uruguay,59.529999999999994
Papua New Guinea,59.29
Chad,58.809999999999995
Djibouti,57.14
Sierra Leone,57.13999999999999
Mauritania,57.13999999999999
Guyana,54.77
Guatemala,54.05
Suriname,53.57000000000001
Gabon,52.38
Jamaica,52.38
Bhutan,50.96
Gambia,50.480000000000004
Albania,50.0
Zambia,49.52
Niger,48.81
Liberia,47.620000000000005
Barbados,47.62
Sudan,46.43000000000001
Bulgaria,46.43
Cape Verde,42.85999999999999
Mozambique,41.67
Brunei,41.67
Madagascar,40.95
Benin,40.48
Myanmar,40.470000000000006
Venezuela,34.529999999999994
Botswana,33.81
Uganda,33.330000000000005
Tanzania,29.77
Tajikistan,29.759999999999998
Uzbekistan,26.189999999999998
Burundi,26.189999999999998
Belarus,25.0
Guam,24.999999999999993
Mali,24.999999999999993
Mongolia,24.999999999999993
Belize,24.999999999999993
Puerto Rico,24.290000000000006
Yemen,23.809999999999995
Palestine,19.049999999999997
El Salvador,17.86
Lesotho,17.14
Hong Kong,17.14
Kyrgyzstan,16.67
Malawi,14.29
Nicaragua,8.33
Libya,7.140000000000001
