,country,Class,rankSum,log_rankSum
0,Vietnam,2,16,1.2041199826559248
1,Japan,0,55,1.7403626894942439
2,Myanmar,0,73,1.863322860120456
3,India,2,80,1.9030899869919435
4,Australia,0,84,1.9242792860618816
5,Sri Lanka,2,87,1.9395192526186185
6,Philippines,2,90,1.954242509439325
7,Indonesia,0,91,1.9590413923210936
8,Togo,0,93,1.968482948553935
9,Uganda,2,96,1.9822712330395684
10,Ethiopia,0,96,1.9822712330395684
11,Papua New Guinea,0,98,1.9912260756924949
12,Mozambique,0,101,2.0043213737826426
13,Nigeria,0,102,2.0086001717619175
14,Angola,2,104,2.0170333392987803
15,Malaysia,2,115,2.060697840353612
16,Bhutan,0,132,2.12057393120585
17,Nepal,2,135,2.130333768495006
18,Rwanda,2,141,2.1492191126553797
19,Burundi,0,144,2.1583624920952498
20,Sudan,0,146,2.164352855784437
21,Democratic Republic of Congo,0,147,2.167317334748176
22,Yemen,0,153,2.184691430817599
23,Jordan,2,154,2.187520720836463
24,Senegal,2,157,2.1958996524092336
25,Kenya,2,158,2.1986570869544226
26,Bangladesh,2,158,2.1986570869544226
27,Benin,0,158,2.1986570869544226
28,Malawi,0,161,2.2068258760318495
29,Egypt,2,165,2.2174839442139063
30,Tanzania,0,167,2.2227164711475833
31,Algeria,0,167,2.2227164711475833
32,Thailand,2,168,2.225309281725863
33,Zimbabwe,2,170,2.230448921378274
34,Russia,2,173,2.2380461031287955
35,Madagascar,0,177,2.247973266361807
36,Chad,0,178,2.250420002308894
37,Hungary,0,182,2.2600713879850747
38,Cuba,0,183,2.2624510897304293
39,Tunisia,0,183,2.2624510897304293
40,Iraq,2,183,2.2624510897304293
41,Somalia,0,184,2.2648178230095364
42,Zambia,0,185,2.2671717284030137
43,Liberia,0,189,2.2764618041732443
44,Greece,2,192,2.2833012287035497
45,Slovakia,2,192,2.2833012287035497
46,Paraguay,2,194,2.287801729930226
47,Eritrea,0,195,2.290034611362518
48,Poland,2,198,2.296665190261531
49,United States,0,199,2.298853076409707
50,Spain,2,201,2.303196057420489
51,Afghanistan,0,203,2.307496037913213
52,Pakistan,2,203,2.307496037913213
53,Venezuela,2,204,2.3096301674258988
54,Namibia,2,206,2.3138672203691533
55,Laos,0,206,2.3138672203691533
56,South Korea,0,207,2.315970345456918
57,Mali,0,209,2.3201462861110542
58,Ukraine,2,210,2.322219294733919
59,Jamaica,2,211,2.3242824552976926
60,Ghana,2,212,2.326335860928751
61,Morocco,2,213,2.3283796034387376
62,Haiti,2,213,2.3283796034387376
63,Uzbekistan,0,215,2.3324384599156054
64,Bulgaria,2,215,2.3324384599156054
65,Lesotho,0,217,2.3364597338485296
