location,primary_key_reaction,iso_code,minDate,maxDate,maxValue,changeGovResp,ramp_up_duration,population,population_density,median_age,newCases_startDate,CaseVsResp_Interval,AvgMaxGovResp_StartApr1,MaxNewCases_date,MaxNewCases_value,StartToMaxNewCases_Interval,MaxNewDeaths_date,MaxNewDeaths_value,MaxNewCasesToMaxNewDeaths_Interval,FirstNewCaseToMaxNewDeaths,3mth_date,newCases_3mnth,totCases_3mnth,newDeaths_3mnth,totDeaths_3mnth,gdp_per_capita,StringencyIndex_updated,ContainmentHealthIndex_updated,EconomicSupportIndex_updated,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,avgOutdoorMobil
Afghanistan,AFG2020-08-31,AFG,2020-03-01,2020-04-12,64.74,50.739999999999995,42 days 00:00:00.000000000,38928341.0,54.422,18.6,2020-02-25,-5 days +00:00:00.000000000,60.57888888888874,2020-05-16,1063.0,76 days 00:00:00.000000000,2020-07-07,56.0,52 days 00:00:00.000000000,133 days 00:00:00.000000000,2020-03-26,33.0,75.0,0.0,1.0,,77.05660130718965,71.5952941176471,0.0,-29.666666666666668,-13.307692307692308,-10.076923076923077,-31.41025641025641,-21.5,9.333333333333334,-21.192307692307693
Albania,ALB2020-08-31,ALB,2020-03-09,2020-05-26,81.41,67.41,78 days 00:00:00.000000000,2877800.0,104.871,38.0,2020-03-09,0 days 00:00:00.000000000,68.48954248365996,2020-08-25,178.0,169 days 00:00:00.000000000,2020-07-26,6.0,-30 days +00:00:00.000000000,139 days 00:00:00.000000000,2020-04-08,6.0,383.0,0.0,22.0,,71.0821568627453,69.28169934640518,64.13398692810458,,,,,,,
Algeria,DZA2020-08-31,DZA,2020-03-12,2020-08-08,78.85,64.85,149 days 00:00:00.000000000,43851043.0,17.348,29.1,2020-02-26,-15 days +00:00:00.000000000,66.17104575163397,2020-07-25,675.0,135 days 00:00:00.000000000,2020-04-04,42.0,-112 days +00:00:00.000000000,38 days 00:00:00.000000000,2020-03-27,65.0,367.0,4.0,25.0,,77.3498039215685,70.17986928104571,44.11764705882353,,,,,,,
Angola,AGO2020-08-31,AGO,2020-03-24,2020-04-09,75.64,61.64,16 days 00:00:00.000000000,32866268.0,23.89,16.8,2020-03-22,-2 days +00:00:00.000000000,67.04437908496712,2020-08-06,180.0,135 days 00:00:00.000000000,2020-07-30,6.0,-7 days +00:00:00.000000000,130 days 00:00:00.000000000,2020-04-21,0.0,24.0,0.0,2.0,,79.37686274509794,71.98398692810454,39.869281045751634,-39.76190476190476,-21.725581395348836,-34.577777777777776,-54.16256157635468,-20.486725663716815,20.988888888888887,-34.14291023502057
Argentina,ARG2020-08-31,ARG,2020-03-04,2020-03-25,91.03,77.03,21 days 00:00:00.000000000,45195777.0,16.177,31.9,2020-03-04,0 days 00:00:00.000000000,85.19019607843144,2020-08-30,11730.0,179 days 00:00:00.000000000,2020-08-26,323.0,-4 days +00:00:00.000000000,175 days 00:00:00.000000000,2020-04-03,0.0,1133.0,3.0,34.0,,91.49653594771223,87.04156862745101,75.0,-65.05955555555556,-28.504444444444445,-73.73333333333333,-60.525192918747166,-31.805777777777777,18.844,-51.92566080597165
Aruba,ABW2020-08-31,ABW,2020-03-19,2020-04-10,81.41,67.41,22 days 00:00:00.000000000,106766.0,584.8,41.2,2020-03-13,-6 days +00:00:00.000000000,57.20692810457518,2020-08-20,175.0,154 days 00:00:00.000000000,2020-04-16,1.0,-126 days +00:00:00.000000000,34 days 00:00:00.000000000,2020-04-12,6.0,92.0,0.0,0.0,,53.84457516339867,52.973856209150256,80.47385620915033,-53.24444444444445,-22.488888888888887,-36.044444444444444,-59.98888888888889,-47.9,22.211267605633804,-43.93333333333333
Australia,AUS2020-08-31,AUS,2020-01-25,2020-08-03,81.73,67.73,191 days 00:00:00.000000000,25499881.0,3.202,37.9,2020-01-25,0 days 00:00:00.000000000,71.28176470588234,2020-07-31,721.0,188 days 00:00:00.000000000,2020-08-18,25.0,18 days 00:00:00.000000000,206 days 00:00:00.000000000,2020-02-24,0.0,22.0,0.0,0.0,,68.20124183006544,70.60228758169946,75.0,-18.23968253968254,0.8841269841269841,-14.78888888888889,-25.447619047619046,-10.907936507936508,7.853035143769968,-13.7
Austria,AUT2020-08-31,AUT,2020-02-25,2020-03-30,85.26,71.26,34 days 00:00:00.000000000,9006400.0,106.749,44.4,2020-02-26,1 days 00:00:00.000000000,62.668169934640524,2020-03-27,1141.0,31 days 00:00:00.000000000,2020-04-23,31.0,27 days 00:00:00.000000000,57 days 00:00:00.000000000,2020-03-27,1141.0,7029.0,18.0,52.0,,50.26039215686271,58.156535947712364,87.5,-49.52444444444444,-17.827272727272728,-7.187082405345212,-45.02552204176334,-36.08444444444444,13.110862262038074,-31.12975321265403
Azerbaijan,AZE2020-08-31,AZE,2020-02-28,2020-06-21,87.18,73.18,114 days 00:00:00.000000000,10139175.0,119.309,32.4,2020-02-29,1 days 00:00:00.000000000,81.10490196078422,2020-06-25,590.0,118 days 00:00:00.000000000,2020-07-22,13.0,27 days 00:00:00.000000000,144 days 00:00:00.000000000,2020-03-30,27.0,209.0,0.0,4.0,,88.03215686274505,87.17640522875826,47.7124183006536,,,,,,,
Bahrain,BHR2020-08-31,BHR,2020-02-09,2020-04-01,83.33,69.33,52 days 00:00:00.000000000,1701583.0,1935.907,32.4,2020-02-24,15 days 00:00:00.000000000,79.4947058823531,2020-06-13,1046.0,125 days 00:00:00.000000000,2020-06-27,7.0,14 days 00:00:00.000000000,124 days 00:00:00.000000000,2020-03-25,51.0,390.0,1.0,3.0,,73.15843137254912,78.04307189542492,87.5,-30.058823529411764,-10.847058823529412,-30.31764705882353,-25.658823529411766,-14.376470588235295,11.388235294117647,-22.25176470588235
