location,ContainmentHealthIndex_updated
Oman,87.74078431372554
El Salvador,87.62490196078461
Azerbaijan,87.17640522875826
Argentina,87.04156862745101
Honduras,86.74163398692825
Nepal,86.5925490196078
Colombia,86.39509803921581
Philippines,86.0018954248365
Iraq,85.14725490196093
South Africa,84.41699346405233
Libya,84.35287581699322
Peru,84.2103267973856
Eritrea,84.0900000000001
India,84.06300653594768
Kuwait,83.75915032679735
Kazakhstan,83.38542483660126
Qatar,83.33287581699341
Guatemala,82.81424836601332
Ecuador,81.97745098039212
Panama,81.25470588235312
Kenya,81.22228758169923
Paraguay,80.94300653594789
Chile,80.76156862745087
Saudi Arabia,80.4201960784315
China,80.2822875816991
Dominican Republic,78.74352941176467
Guyana,78.52627450980376
Russia,78.42294117647045
Bolivia,78.32568627451005
Rwanda,78.21686274509788
Bahrain,78.04307189542492
Palestine,77.97823529411737
Cape Verde,77.8363398692809
Swaziland,77.66816993464064
Bhutan,77.56764705882362
Uganda,77.48058823529418
Bangladesh,77.44411764705865
Cuba,77.36313725490209
Gabon,76.69392156862739
Puerto Rico,76.56522875816988
Venezuela,76.4558169934639
Sudan,76.17183006535943
Morocco,75.94320261437895
Myanmar,75.77882352941178
Suriname,75.68300653594757
Uzbekistan,75.59836601307201
Georgia,75.50477124182993
Moldova,74.97032679738604
Kyrgyzstan,74.898954248366
Fiji,74.52692810457519
Nigeria,73.93470588235301
Zimbabwe,73.826405228758
Trinidad and Tobago,73.73921568627436
Vietnam,73.45686274509808
Egypt,72.94300653594776
Cyprus,72.67784313725481
Portugal,72.4914379084966
Ethiopia,72.372745098039
Congo,72.31424836601295
Belize,72.25777777777776
Angola,71.98398692810454
Afghanistan,71.5952941176471
Liberia,71.52660130718931
Gambia,71.49058823529435
Canada,71.3295424836602
United States,71.13810457516324
Pakistan,70.9299999999999
Barbados,70.86679738562088
Australia,70.60228758169946
United Arab Emirates,70.4354901960785
Algeria,70.17986928104571
Costa Rica,69.50222222222237
Guam,69.42150326797376
Singapore,69.33235294117645
Mexico,69.31588235294127
Albania,69.28169934640518
Guinea,68.93653594771239
United Kingdom,68.93411764705868
Malaysia,68.63300653594776
Hong Kong,68.58800000000001
Jamaica,68.5594117647057
Djibouti,68.17124183006554
Ireland,68.10372549019618
Denmark,68.05281045751617
Brazil,67.76065359477134
Italy,67.30725490196075
Sri Lanka,67.21568627450982
Turkey,66.98738562091495
Ghana,66.9718300653596
Jordan,66.78450980392162
Ukraine,66.77895424836588
Chad,66.71019607843137
Germany,66.61516339869286
Madagascar,66.55411764705887
Lebanon,66.19071895424834
Democratic Republic of Congo,66.18300653594747
Israel,65.98816993464051
Mongolia,65.88163398692794
France,65.87679738562099
Mozambique,65.72313725490177
Belgium,65.70228758169941
Spain,65.33309210526316
Thailand,64.65215686274527
Greece,63.19326797385625
Senegal,62.50771241830045
Namibia,62.45928104575178
South Korea,62.19215686274518
Sierra Leone,62.1707843137254
Hungary,61.64058823529425
Cameroon,61.61777777777801
Indonesia,61.425751633987005
Bosnia and Herzegovina,61.24477124183007
Botswana,61.18928104575159
Mauritania,60.76490196078443
Netherlands,60.24215686274505
Romania,60.05875816993447
Lesotho,59.944311926605444
Central African Republic,59.879803921568666
Papua New Guinea,59.837973856209025
Cote d'Ivoire,59.752745098039156
Burkina Faso,59.713594771241794
Croatia,59.37470588235293
Switzerland,59.370718954248424
Poland,59.16084967320245
Serbia,59.0961437908497
Malawi,59.049470198675586
Togo,58.561830065359615
Austria,58.156535947712364
Slovenia,57.43973856209158
Latvia,57.431437908496996
Mali,57.361437908496846
Benin,56.986013071895286
Haiti,56.76241830065363
Slovakia,56.5796078431372
New Zealand,55.98954248366013
Iran,55.501699346405346
Tajikistan,55.44349593495939
Lithuania,55.16411764705877
Tunisia,54.539934640522866
Seychelles,54.43150326797386
Mauritius,54.179803921568535
Czech Republic,53.50771241830057
Zambia,53.09398692810456
Aruba,52.97385620915026
Luxembourg,52.70777777777777
Laos,51.96228758169942
Iceland,51.92529411764703
Norway,50.89130718954259
Timor,50.81307189542479
Brunei,50.51542483660132
Bulgaria,49.227450980392156
Uruguay,48.86287581699353
Cambodia,46.935947712418404
Finland,45.34751633986931
Sweden,43.658954248365994
Estonia,40.85967320261438
Somalia,38.32803921568627
Yemen,37.827152777777854
Japan,37.11143790849674
Niger,34.553921568627466
Tanzania,32.31718954248361
Burundi,31.294248366013075
Belarus,27.170261437908497
Nicaragua,14.321111111111115
