,country,PC 1,PC 2,PC 3,Class,logPercent_maxNC,logPercent_TC_3mnth
0,Afghanistan,-0.5609734034937395,-1.4701307355379705,-0.5509389754816235,0,-2.5637326313629147,-3.7152046324945114
1,Albania,-2.1604380437796387,-0.7376008796839183,1.6667700093626439,0,-2.2086406059454275,-1.8758618342856987
2,Algeria,-2.755309784976315,-1.2343519879527924,1.2080691780668984,0,-2.8126761547172747,-3.0773138632962103
3,Angola,1.2708497603142366,-1.549488608072369,-0.8902293921814698,2,-3.2614778871735104,-4.136539150565211
4,Argentina,3.628440926180756,-1.644506174523379,0.5469559700137794,2,-1.585799845012707,-2.600867947264839
5,Aruba,2.7842399284444297,3.7717909514252996,2.2876117361546795,1,-0.7853949234511973,-1.0646451447919365
6,Australia,-0.5870548745725356,-1.858924218797516,1.9246347159400503,0,-2.5486028890022148,-4.064115472899438
7,Austria,0.7478701204491637,5.196398043970164,0.5766124905593566,1,-1.8972655868979122,-1.1076576879995017
8,Azerbaijan,-1.9766007038822448,-2.0314792174060265,2.2726796031016843,0,-2.2351506073074523,-2.6858563328385423
9,Bahrain,0.681571372151653,0.09795141722695724,2.204764854592013,2,-1.211321453480558,-1.6397885309853144
10,Bangladesh,2.076213498217257,-1.221131752691095,-0.1072736687700613,2,-2.6125475962980818,-4.001821754442418
11,Barbados,2.985760806889591,1.3321767902360373,-0.7259089774944522,2,-2.379261693201376,-1.5833816758573007
12,Belarus,-3.683599926479808,1.8948957192728733,-3.968724755620774,0,-1.98728776225702,-3.002272748925673
13,Belgium,1.7334648970546325,1.2349374630696803,-1.3371140980548084,2,-1.6955962082355889,-2.9671590336678944
14,Belize,2.445660889828365,-0.9167178734703622,-0.16600893953159535,2,-1.6263414596086718,-2.3441968081050644
15,Benin,-2.1959143553996987,-0.7596766854802521,-0.7231032287793601,0,-2.940602398004413,-3.5395491539082324
16,Bhutan,-2.474479170462775,-1.0256287963643262,0.9449084155070524,0,-2.42500097521138,-3.1884289687743173
17,Bolivia,5.390606715242827,-1.3572376783843236,-0.8209987712611505,2,-1.6379158980351805,-2.626274482403131
18,Bosnia and Herzegovina,0.5545325252625078,0.7108214502228357,0.13419542987732533,2,-1.6847520480263423,-1.7152646636110203
19,Botswana,1.2435675002813416,-0.5243907843447864,-1.276573858740372,2,-1.9665343518831306,-3.009640232485476
20,Brazil,1.5570163895545956,-0.9559871180525789,-0.1779692046203921,2,-1.4881657276377702,-2.8628417747968586
21,Brunei,-3.7974700497328566,0.9316513206016092,-0.94132742107647,0,-2.4948331459094946,-1.5106274130927262
22,Bulgaria,0.011295161284019223,0.4912454211424315,-0.6682377933461997,2,-2.2795947597768182,-2.102315279783201
23,Burkina Faso,-1.8936227545922648,-0.28485952145322785,-1.268831404868937,0,-3.68674594085117,-2.673810670207687
24,Burundi,-4.522697006468065,0.3907368195396795,-2.1938006325585224,0,-3.4731503891823294,-3.8991191214546106
25,Cameroon,-1.6903756929627685,-0.8857885595746424,-0.4007815841695692,0,-2.3751667785538326,-2.611083508439327
26,Canada,0.5360628401141685,0.8698437173697267,-2.171041054046893,2,-2.135917634813727,-4.53543403172072
27,Cape Verde,3.233261331882736,-0.002481419096782865,0.7815450759181474,2,-1.7156816405334967,-1.9597355832079393
28,Central African Republic,-3.2019378299076786,-1.0098448453851971,-0.3697011553146933,0,-2.3494721588962766,-3.6425332248889823
29,Chad,-3.1109925031403822,-0.7867825154051342,-0.10128742097976216,0,-3.296449998136117,-3.697014150634303
30,Chile,4.794638673388183,0.23304331200240405,2.3307882356036487,2,-0.7229452114319052,-1.7494122186602348
31,China,-2.6923696909712596,-1.8132364784032544,1.6196271587867883,0,-2.9780039394485196,-2.999826167192887
32,Colombia,4.5235092298352875,-1.767853285831526,0.11832175062625612,2,-1.5907615773820976,-2.5348452651386526
33,Congo,-2.2824485467823608,-1.492596813265027,0.8293291867616491,0,-2.3024562431174087,-2.8725572172166958
34,Costa Rica,2.0655792991323336,-1.016055296817025,-0.17772477419978602,2,-1.6228499729729573,-2.0500128068550922
35,Cote d'Ivoire,-3.15680925824132,-0.7656960250185324,-0.4382653109070821,0,-2.630257916482553,-2.7400051541957815
36,Croatia,0.3010313698360552,0.6891863133393896,0.3398929065728733,2,-2.0594584873382487,-1.9187363150485541
37,Cuba,-2.3633681946278737,-0.7723237053708364,1.2056627608133503,0,-3.0856172285605212,-2.302821073131114
38,Cyprus,-2.6357604176626044,2.4905268668047684,2.513617735227893,1,-2.179026036952699,-1.2214682863618973
39,Czech Republic,-3.2059514622421688,1.4148448946636278,1.2389869487923424,0,-2.3255976717515736,-1.5101826877108637
40,Democratic Republic of Congo,-2.9598288680290317,-1.2443841437408971,0.2652664079232566,0,-3.3677896687649334,-3.619682433216859
41,Denmark,-1.3479489887920773,3.348919789532716,0.7130038332316825,1,-2.1717791671976223,-1.4519381448479802
42,Djibouti,-2.8543042277197617,2.1497115362938453,2.013141557262444,0,-1.503396129891093,-1.1302467426669738
43,Dominican Republic,3.2380162291671297,0.18329480258472974,-0.7625899021780793,2,-1.7317178568080933,-1.990414287042823
44,Ecuador,5.051380330971196,0.6197675930868796,-0.888608531865234,2,-1.1845186636847698,-1.9529903975640068
