location,StringencyIndex_updated
Honduras,96.7640522875814
Libya,93.83895424836584
Guatemala,93.81228758169947
Eritrea,93.52000000000031
El Salvador,92.58450980392136
Bolivia,92.16836601307178
Argentina,91.49653594771225
Iraq,91.10960784313733
Nepal,90.21934640522888
Oman,88.7172549019607
Azerbaijan,88.03215686274505
Peru,87.87686274509822
Colombia,87.15411764705914
Panama,86.34575163398688
Philippines,86.11189542483656
Palestine,86.05294117647085
Paraguay,84.86196078431387
Uganda,84.64130718954259
Venezuela,84.12751633986943
Kuwait,83.8549673202615
Ecuador,83.52699346405204
Kenya,83.51535947712433
Dominican Republic,83.27705882352956
India,82.60431372549017
Suriname,82.37248366013085
Swaziland,81.98450980392148
Bangladesh,81.68973856209162
South Africa,81.68183006535956
Qatar,81.66346405228771
Zimbabwe,81.16647058823517
Guyana,81.16464052287573
Kazakhstan,81.14418300653601
Kyrgyzstan,80.78339869281042
Chile,80.18967320261424
Sudan,80.13692810457505
Morocco,80.08261437908511
Myanmar,79.6552287581701
Angola,79.37686274509794
Congo,79.12758169934641
Puerto Rico,78.98019607843146
Cuba,78.88986928104566
Liberia,78.15797385620924
Ethiopia,78.02862745098064
Uzbekistan,77.58307189542498
Saudi Arabia,77.42562091503265
Algeria,77.3498039215685
Afghanistan,77.05660130718965
Bhutan,76.67444444444433
Cape Verde,76.64091503267973
Brazil,75.91666666666693
China,75.89483660130722
Mexico,75.58058823529402
Nigeria,74.87490196078446
Moldova,74.86980392156877
Jamaica,74.53326797385637
Russia,73.8704575163398
Georgia,73.76647058823546
Belize,73.50202614379087
Rwanda,73.3782352941176
Bahrain,73.15843137254913
Trinidad and Tobago,73.09032679738567
Pakistan,72.5565359477124
Portugal,72.48032679738577
Costa Rica,72.09477124183003
Madagascar,72.08215686274498
Gabon,72.07222222222234
Egypt,71.94627450980401
Democratic Republic of Congo,71.63915032679752
Gambia,71.36130718954256
Guinea,71.29084967320252
United Kingdom,71.12450980392167
Albania,71.0821568627453
Chad,70.78549019607833
United States,70.27869281045719
Canada,69.35052287581686
Lebanon,69.34150326797385
Fiji,69.25150326797383
Vietnam,68.95986928104577
Ireland,68.72339869281039
Israel,68.59705882352944
Barbados,68.53078431372548
Australia,68.20124183006544
Spain,67.76684210526327
Cyprus,67.6325490196078
Bosnia and Herzegovina,67.44627450980401
Jordan,66.95810457516315
Singapore,66.21856209150327
Guam,66.20078431372556
Indonesia,65.81718954248365
Botswana,65.52607843137241
Mozambique,65.51712418300657
Ukraine,65.2813725490196
Central African Republic,64.8572549019607
United Arab Emirates,64.44477124182994
France,64.41450980392182
Mongolia,64.38026143790844
Belgium,64.28784313725482
Hong Kong,64.07733333333333
Turkey,64.01196078431377
Lesotho,64.01027522935789
Sri Lanka,63.78071895424848
Italy,63.74444444444442
Germany,63.27307189542493
Denmark,63.20457516339853
Cameroon,62.591372549019475
Djibouti,62.50333333333357
Haiti,62.367843137254916
Thailand,62.0601307189541
Malaysia,62.002091503268055
Greece,61.64816993464057
Namibia,61.52398692810465
Romania,61.09424836601317
Togo,60.75444444444443
Hungary,60.52300653594759
Mauritania,60.48294117647037
Poland,59.78928104575166
Ghana,59.63581699346396
Netherlands,58.797908496732276
Tajikistan,58.50585365853655
Cote d'Ivoire,58.36215686274506
Burkina Faso,58.17052287581688
Senegal,57.61392156862733
Sierra Leone,57.469084967320136
Malawi,57.45880794701978
Mali,56.965098039215576
Papua New Guinea,56.444444444444514
Serbia,55.5245098039216
Iran,54.883398692810495
Switzerland,54.48431372549009
Aruba,53.84457516339867
South Korea,53.79091503267962
Latvia,53.397189542483744
Tunisia,53.15169934640529
Slovakia,53.032549019607764
Croatia,52.32999999999987
Slovenia,51.684183006536045
Benin,51.593071895424856
Austria,50.26039215686271
Zambia,50.07640522875825
New Zealand,49.91450980392159
Lithuania,49.34130718954244
Laos,49.05692810457518
Brunei,48.775816993463955
Mauritius,48.25816993464051
Cambodia,48.10705882352948
Seychelles,48.008888888888855
Norway,47.43339869281057
Bulgaria,47.38679738562092
Uruguay,47.16732026143787
Czech Republic,46.881045751633884
Yemen,46.229999999999826
Finland,44.85718954248367
Luxembourg,44.13522875816995
Timor,43.29490196078439
Somalia,42.74562091503259
Estonia,42.70006535947708
Sweden,41.95372549019614
Iceland,41.24058823529422
Tanzania,35.47032679738556
Japan,34.089150326797466
Niger,32.96869281045755
Burundi,26.869346405228754
Nicaragua,13.435751633986943
Belarus,12.944117647058798
