date_updated,new_cases,new_deaths,new_tests,total_cases_updated,total_deaths_updated,total_tests_updated,StringencyIndex_updated,StringencyLegacyIndex_updated,GovernmentResponseIndex_updated,ContainmentHealthIndex_updated,EconomicSupportIndex_updated
2020-01-01,0.0,0.0,4.0,27.0,0.0,4.0,0.0,0.0,0.2942622950819672,0.19885245901639342,0.819672131147541
2020-01-02,0.0,0.0,16.0,27.0,0.0,20.0,0.2277049180327869,0.29278688524590163,0.49393442622950817,0.4347540983606557,0.819672131147541
2020-01-03,17.0,0.0,18.0,44.0,0.0,38.0,0.3188524590163934,0.4488524590163934,0.5570491803278689,0.509344262295082,0.819672131147541
2020-01-04,0.0,0.0,6.0,44.0,0.0,44.0,0.3188524590163934,0.4488524590163934,0.5570491803278689,0.509344262295082,0.819672131147541
2020-01-05,15.0,0.0,14.0,59.0,0.0,58.0,0.36442622950819675,0.5268852459016393,0.6516393442622951,0.620983606557377,0.819672131147541
2020-01-06,0.0,0.0,28.0,59.0,0.0,86.0,0.36442622950819675,0.5268852459016393,0.6516393442622951,0.620983606557377,0.819672131147541
2020-01-07,0.0,0.0,28.0,59.0,0.0,114.0,0.41,0.5854098360655736,0.6831147540983606,0.6581967213114756,0.819672131147541
2020-01-08,0.0,0.0,15.0,59.0,0.0,129.0,0.41,0.5854098360655736,0.6831147540983606,0.6581967213114756,0.819672131147541
2020-01-09,0.0,0.0,44.0,59.0,0.0,173.0,0.41,0.5854098360655736,0.6831147540983606,0.6581967213114756,0.819672131147541
2020-01-10,0.0,0.0,39.0,59.0,0.0,212.0,0.41,0.5854098360655736,0.6831147540983606,0.6581967213114756,0.819672131147541
2020-01-11,0.0,1.0,5.0,59.0,1.0,217.0,0.41,0.5854098360655736,0.6831147540983606,0.6581967213114756,0.819672131147541
2020-01-12,0.0,0.0,20.0,59.0,1.0,237.0,0.41,0.5854098360655736,0.6831147540983606,0.6581967213114756,0.819672131147541
2020-01-13,1.0,0.0,37.0,60.0,1.0,274.0,0.41,0.5854098360655736,0.7250819672131148,0.7078688524590165,0.819672131147541
2020-01-14,0.0,0.0,51.0,60.0,1.0,325.0,0.41,0.5854098360655736,0.7250819672131148,0.7078688524590165,0.819672131147541
2020-01-15,1.0,1.0,59.0,61.0,2.0,384.0,0.5009836065573771,0.6634426229508197,0.8932786885245904,0.9067213114754099,0.819672131147541
2020-01-16,0.0,0.0,42.0,61.0,2.0,426.0,0.7742622950819673,1.0537704918032786,1.1245901639344262,1.18,0.819672131147541
2020-01-17,5.0,0.0,42.0,66.0,2.0,468.0,0.7742622950819673,1.0537704918032786,1.1245901639344262,1.18,0.819672131147541
