,date_updated_30,iso_code,location,total_deaths_30,total_deaths_30_pred
21869,2020-08-31,ABW,Aruba,10.0,55.511898040771484
27214,2020-08-31,AFG,Afghanistan,1402.0,1673.65673828125
21346,2020-08-31,AGO,Angola,107.0,154.40155029296875
22837,2020-08-31,ALB,Albania,280.0,90.17401123046875
27214,2020-08-31,ARE,United Arab Emirates,382.0,954.6071166992188
24692,2020-08-31,ARG,Argentina,8401.0,7566.1611328125
27214,2020-08-31,AUS,Australia,611.0,922.7230834960938
27214,2020-08-31,AUT,Austria,733.0,1007.4000854492188
27214,2020-08-31,AZE,Azerbaijan,531.0,815.0344848632812
19805,2020-08-31,BDI,Burundi,1.0,136.96380615234375
27214,2020-08-31,BEL,Belgium,9894.0,8307.5341796875
22022,2020-08-31,BEN,Benin,40.0,155.44256591796875
22452,2020-08-31,BFA,Burkina Faso,55.0,1090.100341796875
23237,2020-08-31,BGD,Bangladesh,4248.0,3687.981201171875
22741,2020-08-31,BGR,Bulgaria,613.0,690.8181762695312
27214,2020-08-31,BHR,Bahrain,189.0,1042.2784423828125
22650,2020-08-31,BIH,Bosnia and Herzegovina,592.0,492.64178466796875
27214,2020-08-31,BLR,Belarus,676.0,1048.3707275390625
21046,2020-08-31,BLZ,Belize,13.0,348.89105224609375
22569,2020-08-31,BOL,Bolivia,4966.0,4820.13037109375
27214,2020-08-31,BRA,Brazil,120828.0,117134.5234375
21895,2020-08-31,BRB,Barbados,7.0,344.60369873046875
22658,2020-08-31,BRN,Brunei,3.0,523.7189331054688
22650,2020-08-31,BTN,Bhutan,0.0,125.80584716796875
19805,2020-08-31,BWA,Botswana,6.0,307.17425537109375
22143,2020-08-31,CAF,Central African Republic,61.0,315.40228271484375
27214,2020-08-31,CAN,Canada,9117.0,9242.55078125
27214,2020-08-31,CHE,Switzerland,1724.0,859.7964477539062
23153,2020-08-31,CHL,Chile,11244.0,11082.5361328125
27214,2020-08-31,CHN,China,4722.0,4374.46142578125
22361,2020-08-31,CIV,Cote d'Ivoire,115.0,-10.2576322555542
22639,2020-08-31,CMR,Cameroon,411.0,600.8187866210938
22456,2020-08-31,COD,Democratic Republic of Congo,257.0,901.5647583007812
22143,2020-08-31,COG,Congo,78.0,796.0575561523438
23161,2020-08-31,COL,Colombia,19364.0,19655.57421875
21491,2020-08-31,CPV,Cape Verde,40.0,221.82977294921875
22920,2020-08-31,CRI,Costa Rica,418.0,196.80584716796875
22218,2020-08-31,CUB,Cuba,94.0,84.58856201171875
22555,2020-08-31,CYP,Cyprus,21.0,143.81829833984375
27214,2020-08-31,CZE,Czech Republic,423.0,328.91009521484375
27214,2020-08-31,DEU,Germany,9298.0,10120.8046875
21766,2020-08-31,DJI,Djibouti,60.0,266.37371826171875
27214,2020-08-31,DNK,Denmark,624.0,584.2189331054688
27214,2020-08-31,DOM,Dominican Republic,1681.0,2686.244140625
27214,2020-08-31,DZA,Algeria,1501.0,2034.4578857421875
27214,2020-08-31,ECU,Ecuador,6555.0,6961.43408203125
27214,2020-08-31,EGY,Egypt,5399.0,5156.6787109375
21346,2020-08-31,ERI,Eritrea,0.0,299.71453857421875
27214,2020-08-31,ESP,Spain,,28522.55078125
27214,2020-08-31,EST,Estonia,64.0,362.42694091796875
22365,2020-08-31,ETH,Ethiopia,793.0,300.80291748046875
27214,2020-08-31,FIN,Finland,335.0,576.7070922851562
25445,2020-08-31,FJI,Fiji,2.0,875.6141967773438
27214,2020-08-31,FRA,France,30606.0,30006.041015625
22363,2020-08-31,GAB,Gabon,53.0,76.26800537109375
27214,2020-08-31,GBR,United Kingdom,41499.0,40426.76171875
27214,2020-08-31,GEO,Georgia,19.0,277.62298583984375
22363,2020-08-31,GHA,Ghana,276.0,1533.525146484375
