date_updated,iso_code,continent,location,new_cases,new_deaths,new_tests,population,population_density,median_age,total_cases_updated,total_deaths_updated,total_tests_updated,StringencyIndex_updated,StringencyLegacyIndex_updated,GovernmentResponseIndex_updated,ContainmentHealthIndex_updated,EconomicSupportIndex_updated
2020-03-13,ABW,North America,Aruba,2.0,0.0,0.0,106766.0,584.8,41.2,2.0,0.0,0.0,0.0,0.0,2.56,3.03,0.0
2020-03-19,ABW,North America,Aruba,0.0,0.0,0.0,106766.0,584.8,41.2,2.0,0.0,0.0,33.33,42.86,29.49,34.85,0.0
2020-03-20,ABW,North America,Aruba,2.0,0.0,0.0,106766.0,584.8,41.2,4.0,0.0,0.0,33.33,42.86,29.49,34.85,0.0
2020-03-21,ABW,North America,Aruba,0.0,0.0,0.0,106766.0,584.8,41.2,4.0,0.0,0.0,44.44,60.71,37.18,43.94,0.0
2020-03-22,ABW,North America,Aruba,0.0,0.0,0.0,106766.0,584.8,41.2,4.0,0.0,0.0,44.44,60.71,37.18,43.94,0.0
2020-03-23,ABW,North America,Aruba,0.0,0.0,0.0,106766.0,584.8,41.2,4.0,0.0,0.0,44.44,60.71,37.18,43.94,0.0
2020-03-24,ABW,North America,Aruba,8.0,0.0,0.0,106766.0,584.8,41.2,12.0,0.0,0.0,44.44,60.71,37.18,43.94,0.0
2020-03-25,ABW,North America,Aruba,5.0,0.0,0.0,106766.0,584.8,41.2,17.0,0.0,0.0,44.44,60.71,37.18,43.94,0.0
2020-03-26,ABW,North America,Aruba,2.0,0.0,0.0,106766.0,584.8,41.2,19.0,0.0,0.0,44.44,60.71,37.18,43.94,0.0
2020-03-27,ABW,North America,Aruba,9.0,0.0,0.0,106766.0,584.8,41.2,28.0,0.0,0.0,44.44,60.71,37.18,43.94,0.0
2020-03-28,ABW,North America,Aruba,0.0,0.0,0.0,106766.0,584.8,41.2,28.0,0.0,0.0,44.44,60.71,37.18,43.94,0.0
2020-03-29,ABW,North America,Aruba,0.0,0.0,0.0,106766.0,584.8,41.2,28.0,0.0,0.0,85.19,85.71,65.38,77.27,0.0
2020-03-30,ABW,North America,Aruba,22.0,0.0,0.0,106766.0,584.8,41.2,50.0,0.0,0.0,85.19,85.71,73.08,77.27,50.0
2020-03-31,ABW,North America,Aruba,0.0,0.0,0.0,106766.0,584.8,41.2,50.0,0.0,0.0,85.19,85.71,73.08,77.27,50.0
2020-04-01,ABW,North America,Aruba,5.0,0.0,0.0,106766.0,584.8,41.2,55.0,0.0,0.0,85.19,85.71,78.85,77.27,87.5
2020-04-02,ABW,North America,Aruba,0.0,0.0,0.0,106766.0,584.8,41.2,55.0,0.0,0.0,85.19,85.71,78.85,77.27,87.5
2020-04-03,ABW,North America,Aruba,5.0,0.0,0.0,106766.0,584.8,41.2,60.0,0.0,0.0,85.19,85.71,78.85,77.27,87.5
2020-04-04,ABW,North America,Aruba,2.0,0.0,0.0,106766.0,584.8,41.2,62.0,0.0,0.0,85.19,85.71,78.85,77.27,87.5
2020-04-05,ABW,North America,Aruba,2.0,0.0,0.0,106766.0,584.8,41.2,64.0,0.0,0.0,85.19,85.71,78.85,77.27,87.5
2020-04-06,ABW,North America,Aruba,0.0,0.0,0.0,106766.0,584.8,41.2,64.0,0.0,0.0,85.19,85.71,78.85,77.27,87.5
2020-04-07,ABW,North America,Aruba,7.0,0.0,0.0,106766.0,584.8,41.2,71.0,0.0,0.0,85.19,85.71,78.85,77.27,87.5
2020-04-08,ABW,North America,Aruba,3.0,0.0,0.0,106766.0,584.8,41.2,74.0,0.0,0.0,85.19,85.71,78.85,77.27,87.5
2020-04-09,ABW,North America,Aruba,3.0,0.0,0.0,106766.0,584.8,41.2,77.0,0.0,0.0,85.19,85.71,78.85,77.27,87.5
