index,date,province,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,TotalCases,DailyTotals,TotalDeaths,DailyDeaths,TotalRecovered,DailyRecovered,population
0,2020-02-15,ALBERTA,7.0,3.0,24.0,7.0,-2.0,-1.0,0,0,0,0,0,0,4428247
1,2020-02-15,BRITISH COLUMBIA,1.0,0.0,-4.0,2.0,-4.0,0.0,5,0,0,0,0,0,5120184
2,2020-02-15,MANITOBA,5.0,2.0,20.0,1.0,1.0,0.0,0,0,0,0,0,0,1379121
3,2020-02-15,NEW BRUNSWICK,-3.0,-7.0,-13.0,11.0,-3.0,1.0,0,0,0,0,0,0,780890
4,2020-02-15,NEWFOUNDLAND AND LABRADOR,-1.0,-2.0,-16.0,-1.0,-1.0,1.0,0,0,0,0,0,0,520437
5,2020-02-15,NOVA SCOTIA,-1.0,-6.0,-10.0,4.0,-1.0,0.0,0,0,0,0,0,0,978274
6,2020-02-15,ONTARIO,2.0,3.0,20.0,5.0,1.0,-1.0,3,0,0,0,1,0,14745040
7,2020-02-15,QUEBEC,4.0,0.0,20.0,5.0,2.0,1.0,0,0,0,0,0,0,8552362
8,2020-02-15,SASKATCHEWAN,2.0,-1.0,-6.0,3.0,-2.0,0.0,0,0,0,0,0,0,1181987
9,2020-02-16,ALBERTA,10.0,-2.0,28.0,3.0,-3.0,-2.0,0,0,0,0,0,0,4428247
10,2020-02-16,BRITISH COLUMBIA,12.0,2.0,41.0,10.0,-2.0,-2.0,5,0,0,0,0,0,5120184
11,2020-02-16,MANITOBA,10.0,0.0,26.0,-4.0,-4.0,-2.0,0,0,0,0,0,0,1379121
12,2020-02-16,NEW BRUNSWICK,29.0,22.0,121.0,15.0,5.0,-4.0,0,0,0,0,0,0,780890
13,2020-02-16,NEWFOUNDLAND AND LABRADOR,15.0,0.0,26.0,13.0,14.0,-3.0,0,0,0,0,0,0,520437
14,2020-02-16,NOVA SCOTIA,57.0,51.0,84.0,27.0,14.0,-6.0,0,0,0,0,0,0,978274
15,2020-02-16,ONTARIO,16.0,13.0,44.0,5.0,-2.0,-2.0,3,0,0,0,1,0,14745040
16,2020-02-16,QUEBEC,10.0,7.0,47.0,2.0,4.0,-1.0,0,0,0,0,0,0,8552362
17,2020-02-16,SASKATCHEWAN,5.0,-2.0,40.0,0.0,-3.0,-1.0,0,0,0,0,0,0,1181987
18,2020-02-17,ALBERTA,-7.0,-2.0,10.0,-40.0,-67.0,15.0,0,0,0,0,0,0,4428247
19,2020-02-17,BRITISH COLUMBIA,5.0,9.0,114.0,-21.0,-67.0,12.0,5,0,0,0,0,0,5120184
20,2020-02-17,MANITOBA,-19.0,-24.0,60.0,-37.0,-69.0,17.0,0,0,0,0,0,0,1379121
21,2020-02-17,NEW BRUNSWICK,-35.0,-50.0,83.0,-24.0,-64.0,14.0,0,0,0,0,0,0,780890
22,2020-02-17,NEWFOUNDLAND AND LABRADOR,5.0,3.0,35.0,6.0,-10.0,0.0,0,0,0,0,0,0,520437
23,2020-02-17,NOVA SCOTIA,-35.0,-50.0,105.0,-34.0,-67.0,15.0,0,0,0,0,0,0,978274
24,2020-02-17,ONTARIO,-26.0,-37.0,70.0,-40.0,-72.0,16.0,3,0,0,0,1,0,14745040
